habitat,site,site_unqiue,depth,date,trip,quadrat,quadrat2,square,depth_mm,number_pieces,piece,widest_span_mm,remove_for_size,morphology_simple,stable,bound,number_bound_to_it,total_pieces_bound,binder_1,binder_2,binder_3,
West,1,1,2-3m,29/8/2018,2018,1,1,1,75,29,1,31,no,Branched,No,Yes,2,3,cca,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,1,30,NA,2,66,no,Branched,No,Yes,3,4,sponge,turf,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,1,NA,NA,3,9,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,1,NA,NA,4,310,no,Branched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,2,40,12,5,45,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,2,40,NA,6,82,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,2,NA,NA,7,26,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,2,NA,NA,8,175,no,Branched,Yes,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,3,15,17,9,138,no,Branched,No,Yes,2,3,cca,coral,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,3,90,NA,10,78,no,Other,No,Yes,2,3,macroalgae,coral,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,3,NA,NA,11,280,no,Branched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,3,NA,NA,12,320,no,Branched,Yes,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,4,95,11,13,45,no,Unbranched,Yes,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,4,70,NA,14,140,no,Branched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,4,NA,NA,15,49,no,Branched,No,Yes,2,3,sponge,NA,NA,
West,1,1,2-3m,29/8/2018,2018,1,1,4,NA,NA,16,42,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,2,2,1,70,37,1,22,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,2,2,1,70,NA,2,28,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,2,2,1,NA,NA,3,55,no,Branched,No,Yes,3,4,sponge,cca,NA,
West,1,1,2-3m,29/8/2018,2018,2,2,1,NA,NA,4,85,no,Branched,Yes,Yes,2,3,coral,NA,NA,
West,1,1,2-3m,29/8/2018,2018,2,2,2,55,27,5,80,no,Branched,Yes,Yes,5,6,sponge,macroalgae,coral,
West,1,1,2-3m,29/8/2018,2018,2,2,2,45,NA,6,46,no,Unbranched,No,No,NA,NA,NA,NA,NA,
West,1,1,2-3m,29/8/2018,2018,2,2,2,NA,NA,7,35,no,Branched,No,No,NA,NA,NA,NA,NA,
