"","aspect","depth","site","grid","grid_unique","rubble_count_start","rubble_count_end","side","date","month","weeks","Notes.on.state.of.grid","total_binds","total_binds_per_100_pieces","total_binds_per_50_pieces","total_binds_per_piece","total_binds_no_turf","total_binds_no_turf_per_50_pieces","total_binds_no_turf_bind_width","cyano_mat","cyano_mat_st","Cyanobacterial.mat.notes","Cyanobacteria.average.bind.length","cyano_mat_bind_width","Cyano_Sponge_Ball.Added.to_cyano","Notes","turf_algae","turf_algae_st","turf_algae_bind_width","Green.turf.algae","Green.turf.algae.notes","Green_turf_Average.bind.length","Green_turf_Average.bind.length_mm","unbroken","CCA.Notes","unbroken_cca_bind_width","unbroken_bind_width_mm","Broken.CCA","Broken.CCA.Average.length","cca","cca_st","cca_bind_width","cca_minus_HBU","cca_minus_HBU_st","cca_minus_HBU_width","HBU","HBU_st","HBU_bind_width","CCA.white","CCA.white.notes","Average.bind.length","Red.turf.algae","Red.turf.algae.notes","Red.algae.Average.bind.length","Red.algae.Average.bind.length_mm","Red.turf.and.Dictyota.combo","X","Green.algae..think.it.s.the.same.as.the.red.algae...just.colour.variations.","Average.bind.length.1","macroalgae_total_incl_peyson","macroalgae_total_incl_peyson_st","macroalgae_total_incl_peyson_bind_width_mm","macroalgae_total_excl_peyson","macroalgae_total_excl_peyson_st","macroalgae_total_excl_peyson_bind_width_mm","dictyota","dictyota_st","Dictyota.notes","Dictyota.Average.bind.length","dictyota_bind_width_mm","tydemania","tydemania_st","Fluffy.green.ball.algae.Average.bind.length","tydemania_bind_width_mm","Fluffy.ball.notes","padina","padina_st","Padina.notes","Average.bind.length.2","padina_bind_width_mm","halimeda","halimeda_st","Halimeda.Average.bind.length","halimeda_bind_width_mm","Halimeda.notes","lobophora","lobophora_st","Lobophora.notes","Lobophora.Average.bind.length","lobophora_bind_width_mm","peysonnalia","peysonnalia_st","Peysonnalia.notes","Peysonnalia.Average.bind.length","peysonallia_bind_width_mm","macroalgae_misc","macroalgae_misc_st","Macroalgae.other.notes","Macroalgae.other.Average.bind.length","macroalgae_misc_bind_width_mm","caulerpa","caulerpa_st","Disc.macroalgae.other.notes","Disc.macroalgae.other.Average.bind.length","caulerpa_bind_width_mm","turbinaria","turbinaria_st","Turbinaria.notes","Average.length.turbinaria","turbinaria_bind_width_mm","ventricaria","ventricaria_st","Sailors.eyeball.notes","Sailors.eyeball.avg.length","ventricaria_bind_width_mm","sponge_encrust","sponge_encrust_st","Encrusting.sponge.notes","Sponge.Average.bind.length","sponge_encrust_bind_width_mm","ascidian_colonial","ascidian_colonial_st","Colonial.ascidian.notes","Colonial.ascidian.Average.bind.length","ascidian_colonial_bind_width_mm","ascidian_tunicate","ascidian_tunicate_st","Tunicate.Average.bind.length","ascidian_tunicate_bind_width_mm","ascidian_comb","ascidian_comb_bind_width","ascidian_comb_st","bryozoan_encrust","bryozoan_encrust_st","Encrusting.bryozoan.notes..some.are.broken.but.will.include.because.if.I.hadn.t.jigged.them..they.wouldn.t.have.broken.","Encrusting.bryozoan.Average.bind.length","bryozoan_encrust_bind_width_mm","bryozoan_stalked","bryozoan_stalked_st","bryozoan_stalked_bind_width_mm","Non.encrusting.bryozoan.notes","bryozoan_comb","bryozoan_comb_bind_width","bryozoan_comb_st","anemone","anemone_st","Anemone.notes","Anemone.average.bind.length","anemone_bind_width_mm","coral","coral_st","Coral.notes","Coral.average.bind.length","coral_bind_width_mm","Non.binding.corals","Non.binding.corals.notes","Average.Non.binding.coral.length..cm.","other_incl_HBU_serpulid","other_incl_HBU_serpulid_st","other_incl_HBU_serpulid_bind_width","other_incl_HBU_excl_serp","other_incl_HBU_excl_serp_st","other_incl_HBU_excl_serp_bind_width","other_incl_serpulid","other_incl_serpulid_st","Other.notes","Other.Average.bind.length","other_incl_serpulid_bind_width_mm","other_excl_serpulid","other_excl_serpulid_st","other_excl_serpulid_bind_width_mm","serpulid","serpulid_st","serpulid_bind_width_mm","Suspect.CCA...hard.bound.but.cannot.see.specific.CCA.bind","Notes.1","ruined","aspect_depth","cyano_mat_pp","turf_algae_pp","cca_minus_HBU_pp","macroalgae_total_excl_peyson_pp","macroalgae_total_incl_peyson_pp","peysonnalia_pp","sponge_encrust_pp","ascidian_comb_pp","bryozoan_comb_pp","anemone_pp","coral_pp","other_incl_HBU_excl_serp_pp","serpulid_pp","other_incl_HBU_serpulid_pp","cyano_mat_st_prop","turf_algae_st_prop","cca_minus_HBU_st_prop","macroalgae_total_excl_peyson_st_prop","peysonnalia_st_prop","sponge_encrust_st_prop","ascidian_comb_st_prop","bryozoan_comb_st_prop","anemone_st_prop","coral_st_prop","other_incl_HBU_excl_serp_st_prop","serpulid_st_prop"
"1","SE","2-3m","1",1,7,56,56,"Topside","2/01/2018","2.5",10,"# pieces at start 53, end 56 so have done an average",16,28.57142857,14.28571429,0.285714286,3,2.678571429,5.357142857,0,0,"","not_measured",NA,0,"",13,11.60714286,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",13,"","not_measured",NA,"",NA,0,"not_measured",3,2.678571429,"not_measured",3,2.678571429,"not_measured",3,2.678571429,"","not_measured","not_measured",0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Shal",0,0.232142857142857,0,0.0535714285714286,0.0535714285714286,0,0,0,0,0,0,0,0,0,0,0.81249999995625,0,0.18749999997375,0,0,0,0,0,0,0,0
"2","SE","2-3m","1",2,8,50,56,"Topside","2/01/2018","2.5",10,"# of pieces at start apparently 48 but 56 at end so changed to 56",12,24,12,0.24,4,4,8,2,2,"","not_measured","not_measured",0,"",8,8,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",8,"","not_measured",NA,"",NA,0,"not_measured",2,2,"not_measured",2,2,"not_measured",2,2,"","not_measured","not_measured",0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Shal",0.04,0.16,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0.166666666666667,0.666666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0
"3","SE","2-3m","2",1,9,49,42,"Topside","2/01/2018","2.5",10,"",7,14.28571429,7.142857143,0.142857143,3,3.06122449,6.12244898,3,3.06122449,"","not_measured","not_measured",0,"",4,4.081632653,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",4,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Shal",0.0612244897959184,0.0816326530612245,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428591429,0.571428571408571,0,0,0,0,0,0,0,0,0,0
"4","SE","2-3m","2",2,10,46,42,"Topside","2/01/2018","2.5",10,"",6,13.04347826,6.52173913,0.130434783,2,2.173913043,4.347826087,2,2.173913043,"","not_measured","not_measured",0,"",4,4.347826087,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",4,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Shal",0.0434782608695652,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333282222,0.666666666717778,0,0,0,0,0,0,0,0,0,0
"5","SE","2-3m","3",1,11,45,42,"Topside","2/01/2018","2.5",10,"",3,6.666666667,3.333333333,0.066666667,0,0,0,0,0,"","not_measured",NA,0,"",3,3.333333333,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",3,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Shal",0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6","SE","2-3m","3",2,12,54,45,"Topside","2/01/2018","2.5",10,"",1,1.851851852,0.925925926,0.018518519,0,0,0,0,0,"","not_measured",NA,0,"",1,0.925925926,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",1,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Shal",0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7","SE","6-7m","1",1,13,57,60,"Topside","4/01/2018","2.5",10,"",1,1.754385965,0.877192982,0.01754386,0,0,0,0,0,"","not_measured",NA,0,"",1,0.877192982,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",1,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Deep",0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8","SE","6-7m","1",2,14,70,60,"Topside","4/01/2018","2.5",10,"",7,10,5,0.1,5,3.571428571,7.142857143,0,0,"","not_measured",NA,0,"",2,1.428571429,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",2,"","not_measured",NA,"",NA,0,"not_measured",5,3.571428571,"not_measured",5,3.571428571,"not_measured",5,3.571428571,"","not_measured","not_measured",0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Deep",0,0.0285714285714286,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0.2857142858,0,0.7142857142,0,0,0,0,0,0,0,0
"9","SE","6-7m","2",1,15,59,54,"Topside","4/01/2018","2.5",10,"",2,3.389830508,1.694915254,0.033898305,0,0,0,0,0,"","not_measured",NA,0,"",2,1.694915254,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",2,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Deep",0,0.0338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10","SE","6-7m","2",2,16,57,57,"Topside","5/01/2018","2.5",10,"",1,1.754385965,0.877192982,0.01754386,1,0.877192982,1.754385965,0,0,"","not_measured",NA,0,"",0,0,NA,0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",0,"","not_measured",NA,"",NA,0,"not_measured",1,0.877192982,"not_measured",1,0.877192982,"not_measured",1,0.877192982,"","not_measured","not_measured",0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"",NA,0,NA,0,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Deep",0,0,0,0.0175438596491228,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
