"","aspect","depth","site","grid","grid_unique","rubble_count_start","rubble_count_end","side","date","month","weeks","Notes.on.state.of.grid","total_binds","total_binds_per_100_pieces","total_binds_per_50_pieces","total_binds_per_piece","total_binds_no_turf","total_binds_no_turf_per_50_pieces","total_binds_no_turf_bind_width","cyano_mat","cyano_mat_st","Cyanobacterial.mat.notes","Cyanobacteria.average.bind.length","cyano_mat_bind_width","Cyano_Sponge_Ball.Added.to_cyano","Notes","turf_algae","turf_algae_st","turf_algae_bind_width","Green.turf.algae","Green.turf.algae.notes","Green_turf_Average.bind.length","Green_turf_Average.bind.length_mm","unbroken","CCA.Notes","unbroken_cca_bind_width","unbroken_bind_width_mm","Broken.CCA","Broken.CCA.Average.length","cca","cca_st","cca_bind_width","cca_minus_HBU","cca_minus_HBU_st","cca_minus_HBU_width","HBU","HBU_st","HBU_bind_width","CCA.white","CCA.white.notes","Average.bind.length","Red.turf.algae","Red.turf.algae.notes","Red.algae.Average.bind.length","Red.algae.Average.bind.length_mm","Red.turf.and.Dictyota.combo","X","Green.algae..think.it.s.the.same.as.the.red.algae...just.colour.variations.","Average.bind.length.1","macroalgae_total_incl_peyson","macroalgae_total_incl_peyson_st","macroalgae_total_incl_peyson_bind_width_mm","macroalgae_total_excl_peyson","macroalgae_total_excl_peyson_st","macroalgae_total_excl_peyson_bind_width_mm","dictyota","dictyota_st","Dictyota.notes","Dictyota.Average.bind.length","dictyota_bind_width_mm","tydemania","tydemania_st","Fluffy.green.ball.algae.Average.bind.length","tydemania_bind_width_mm","Fluffy.ball.notes","padina","padina_st","Padina.notes","Average.bind.length.2","padina_bind_width_mm","halimeda","halimeda_st","Halimeda.Average.bind.length","halimeda_bind_width_mm","Halimeda.notes","lobophora","lobophora_st","Lobophora.notes","Lobophora.Average.bind.length","lobophora_bind_width_mm","peysonnalia","peysonnalia_st","Peysonnalia.notes","Peysonnalia.Average.bind.length","peysonallia_bind_width_mm","macroalgae_misc","macroalgae_misc_st","Macroalgae.other.notes","Macroalgae.other.Average.bind.length","macroalgae_misc_bind_width_mm","caulerpa","caulerpa_st","Disc.macroalgae.other.notes","Disc.macroalgae.other.Average.bind.length","caulerpa_bind_width_mm","turbinaria","turbinaria_st","Turbinaria.notes","Average.length.turbinaria","turbinaria_bind_width_mm","ventricaria","ventricaria_st","Sailors.eyeball.notes","Sailors.eyeball.avg.length","ventricaria_bind_width_mm","sponge_encrust","sponge_encrust_st","Encrusting.sponge.notes","Sponge.Average.bind.length","sponge_encrust_bind_width_mm","ascidian_colonial","ascidian_colonial_st","Colonial.ascidian.notes","Colonial.ascidian.Average.bind.length","ascidian_colonial_bind_width_mm","ascidian_tunicate","ascidian_tunicate_st","Tunicate.Average.bind.length","ascidian_tunicate_bind_width_mm","ascidian_comb","ascidian_comb_bind_width","ascidian_comb_st","bryozoan_encrust","bryozoan_encrust_st","Encrusting.bryozoan.notes..some.are.broken.but.will.include.because.if.I.hadn.t.jigged.them..they.wouldn.t.have.broken.","Encrusting.bryozoan.Average.bind.length","bryozoan_encrust_bind_width_mm","bryozoan_stalked","bryozoan_stalked_st","bryozoan_stalked_bind_width_mm","Non.encrusting.bryozoan.notes","bryozoan_comb","bryozoan_comb_bind_width","bryozoan_comb_st","anemone","anemone_st","Anemone.notes","Anemone.average.bind.length","anemone_bind_width_mm","coral","coral_st","Coral.notes","Coral.average.bind.length","coral_bind_width_mm","Non.binding.corals","Non.binding.corals.notes","Average.Non.binding.coral.length..cm.","other_incl_HBU_serpulid","other_incl_HBU_serpulid_st","other_incl_HBU_serpulid_bind_width","other_incl_HBU_excl_serp","other_incl_HBU_excl_serp_st","other_incl_HBU_excl_serp_bind_width","other_incl_serpulid","other_incl_serpulid_st","Other.notes","Other.Average.bind.length","other_incl_serpulid_bind_width_mm","other_excl_serpulid","other_excl_serpulid_st","other_excl_serpulid_bind_width_mm","serpulid","serpulid_st","serpulid_bind_width_mm","Suspect.CCA...hard.bound.but.cannot.see.specific.CCA.bind","Notes.1","ruined","aspect_depth","cyano_mat_pp","turf_algae_pp","cca_minus_HBU_pp","macroalgae_total_excl_peyson_pp","macroalgae_total_incl_peyson_pp","peysonnalia_pp","sponge_encrust_pp","ascidian_comb_pp","bryozoan_comb_pp","anemone_pp","coral_pp","other_incl_HBU_excl_serp_pp","serpulid_pp","other_incl_HBU_serpulid_pp","cyano_mat_st_prop","turf_algae_st_prop","cca_minus_HBU_st_prop","macroalgae_total_excl_peyson_st_prop","peysonnalia_st_prop","sponge_encrust_st_prop","ascidian_comb_st_prop","bryozoan_comb_st_prop","anemone_st_prop","coral_st_prop","other_incl_HBU_excl_serp_st_prop","serpulid_st_prop"
"1","W","2-3m","3",1,23,59,32,"Underside","27/04/2018","6",24,"",8,13.55932203,6.779661017,0.13559322,8,6.779661017,13.55932203,0,0,"","not_measured",NA,0,"",0,0,NA,0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",0,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,1,0.847457627,"","not_measured","not_measured",7,5.93220339,"","not_measured","not_measured",0,0,"",NA,7,"not_measured",5.93220339,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Exp_Shal",0,0,0,0,0,0,0.0169491525423729,0.11864406779661,0,0,0,0,0,0,0,0,0,0,0,0.124999999981563,0.875000000018437,0,0,0,0,0
"2","W","2-3m","3",2,24,57,40,"Underside","27/04/2018","6",24,"",11,19.29824561,9.649122807,0.192982456,10,8.771929825,17.54385965,0,0,"","not_measured",NA,0,"",1,0.877192982,"not_measured",0,"","not_measured","not_measured",1,"","not_measured",NA,"",NA,1,0.877192982,"not_measured",1,0.877192982,"not_measured",0,0,NA,0,"","not_measured",1,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,8,7.01754386,"","not_measured","not_measured",1,0.877192982,"","not_measured","not_measured",0,0,"",NA,1,"not_measured",0.877192982,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Exp_Shal",0,0.0175438596491228,0.0175438596491228,0,0,0,0.140350877192982,0.0175438596491228,0,0,0,0,0,0,0,0.0909090908619835,0.0909090908619835,0,0,0.727272727310413,0.0909090908619835,0,0,0,0,0
"3","SE","2-3m","1",1,7,56,56,"Underside","27/04/2018","6",24,"# pieces at start 53, end 56 so have done an average",40,71.42857143,35.71428571,0.714285714,40,35.71428571,71.42857143,0,0,"","not_measured",NA,0,"",0,0,NA,0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",0,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,8,7.142857143,"Some of these were bright green which I think are actually ascidians, but cannot find datasheet to know how many. Will leave data like this unless I can find datasheet","not_measured","not_measured",27,24.10714286,"","not_measured","not_measured",0,0,"",NA,27,"not_measured",24.10714286,5,4.464285714,"","not_measured","not_measured",0,0,NA,"",5,"not_measured",4.464285714,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"Need to confirm bright green sponge is a sponge and purple ascidian is an ascidian. Unsure about this, decide from looking at better photos and then change.","no","Shelt_Shal",0,0,0,0,0,0,0.142857142857143,0.482142857142857,0.0892857142857143,0,0,0,0,0,0,0,0,0,0,0.200000000028,0.675000000161,0.125000000007,0,0,0,0
"4","W","2-3m","1",1,19,51,45,"Underside","28/04/2018","6",24,"",13,25.49019608,12.74509804,0.254901961,7,6.862745098,13.7254902,0,0,"","not_measured",NA,0,"",6,5.882352941,"not_measured",0,"","not_measured","not_measured",2,"","not_measured",NA,"",NA,2,1.960784314,"not_measured",2,1.960784314,"not_measured",0,0,NA,0,"","not_measured",6,"","not_measured",NA,"",NA,0,"not_measured",1,0.980392157,"not_measured",0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,1,0.980392157,"","not_measured","not_measured",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,1,0.980392157,"","not_measured","not_measured",2,1.960784314,"","not_measured","not_measured",0,0,"",NA,2,"not_measured",1.960784314,1,0.980392157,"","not_measured","not_measured",0,0,NA,"",1,"not_measured",0.980392157,0,0,"","not_measured",NA,0,0,"","not_measured",NA,1,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"Coral 8mm. Photos: Top left is actually shown as top right in the photos.","no","Exp_Shal",0,0.117647058823529,0.0392156862745098,0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0196078431372549,0,0,0,0,0,0,0.461538461496213,0.153846153858225,0,0.0769230769291124,0.0769230769291124,0.153846153858225,0.0769230769291124,0,0,0,0
"5","W","2-3m","1",2,20,47,40,"Underside","28/04/2018","6",24,"",26,55.31914894,27.65957447,0.553191489,20,21.27659574,42.55319149,0,0,"","not_measured",NA,0,"",6,6.382978723,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",6,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,12,12.76595745,"","not_measured","not_measured",6,6.382978723,"","not_measured","not_measured",0,0,"",NA,6,"not_measured",6.382978723,1,1.063829787,"","not_measured","not_measured",0,0,NA,"",1,"not_measured",1.063829787,0,0,"","not_measured",NA,1,1.063829787,"","not_measured","not_measured",NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Exp_Shal",0,0.127659574468085,0,0,0,0,0.25531914893617,0.127659574468085,0.0212765957446809,0,0.0212765957446809,0,0,0,0,0.230769230738639,0,0,0,0.461538461621893,0.230769230738639,0.0384615384504142,0,0.0384615384504142,0,0
"6","SE","2-3m","1",2,8,50,56,"Underside","28/04/2018","6",24,"# of pieces at start apparently 48 but 56 at end so changed to 56",36,72,36,0.72,33,33,66,0,0,"","not_measured",NA,0,"",3,3,"not_measured",0,"","not_measured","not_measured",3,"","not_measured",NA,"",NA,3,3,"not_measured",3,3,"not_measured",0,0,NA,0,"","not_measured",3,"","not_measured",NA,"",NA,0,"not_measured",10,10,"not_measured",10,10,"not_measured",10,10,"","not_measured","not_measured",0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,10,10,"","not_measured","not_measured",7,7,"","not_measured","not_measured",0,0,"",NA,7,"not_measured",7,3,3,"","not_measured","not_measured",0,0,NA,"",3,"not_measured",3,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"","no","Shelt_Shal",0,0.06,0.06,0.2,0.2,0,0.2,0.14,0.06,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.277777777777778,0,0.277777777777778,0.194444444444444,0.0833333333333333,0,0,0,0
"7","SE","2-3m","2",1,9,49,42,"Underside","28/04/2018","6",24,"",43,87.75510204,43.87755102,0.87755102,40,40.81632653,81.63265306,0,0,"","not_measured",NA,0,"",3,3.06122449,"not_measured",0,"","not_measured","not_measured",2,"","not_measured",NA,"",NA,2,2.040816327,"not_measured",2,2.040816327,"not_measured",0,0,NA,0,"","not_measured",3,"","not_measured",NA,"",NA,0,"not_measured",4,4.081632653,"not_measured",4,4.081632653,"not_measured",4,4.081632653,"","not_measured","not_measured",0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,20,20.40816327,"","not_measured","not_measured",5,5.102040816,"","not_measured","not_measured",0,0,"",NA,5,"not_measured",5.102040816,9,9.183673469,"","not_measured","not_measured",0,0,NA,"",9,"not_measured",9.183673469,0,0,"","not_measured",NA,0,0,"","not_measured",NA,3,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"3 Pocillopora corals on underside, 2 of them 1.5cm and 1 of them 0.9cm widest span","no","Shelt_Shal",0,0.0612244897959184,0.0408163265306122,0.0816326530612245,0.0816326530612245,0,0.408163265306122,0.102040816326531,0.183673469387755,0,0,0,0,0,0,0.0697674418657653,0.0465116279181071,0.0930232558134235,0,0.465116279181071,0.116279069761082,0.209302325574505,0,0,0,0
"8","SE","2-3m","3",1,11,45,42,"Underside","29/04/2018","6",24,"",78,173.3333333,86.66666667,1.733333333,72,80,160,0,0,"","not_measured",NA,0,"",6,6.666666667,"not_measured",0,"","not_measured","not_measured",1,"","not_measured",NA,"",NA,1,1.111111111,"not_measured",1,1.111111111,"not_measured",0,0,NA,0,"","not_measured",6,"","not_measured",NA,"",NA,0,"not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,25,27.77777778,"There was one white one that was marked as a sponge but I think it is an ascidian. Changed from 26 sponge, 31 ascidian to 25 sponge, 30 ascidian.","not_measured","not_measured",30,33.33333333,"","not_measured","not_measured",0,0,"",NA,30,"not_measured",33.33333333,16,17.77777778,"","not_measured","not_measured",0,0,NA,"",16,"not_measured",17.77777778,0,0,"","not_measured",NA,0,0,"","not_measured",NA,2,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"There were 2 corals both approx 1cm","no","Shelt_Shal",0,0.133333333333333,0.0222222222222222,0,0,0,0.555555555555556,0.666666666666667,0.355555555555556,0,0,0,0,0,0,0.0769230769239645,0.0128205128187377,0,0,0.320512820526134,0.38461538456213,0.205128205145957,0,0,0,0
"9","SE","2-3m","3",2,12,54,45,"Underside","29/04/2018","6",24,"",56,103.7037037,51.85185185,1.037037037,39,36.11111111,72.22222222,1,0.925925926,"","not_measured","not_measured",0,"",17,15.74074074,"not_measured",0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",17,"","not_measured",NA,"",NA,0,"not_measured",1,0.925925926,"not_measured",1,0.925925926,"not_measured",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",1,0.925925926,"","not_measured","not_measured",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,28,25.92592593,"There was one I was unsure about, checking, it was ascidian, so 29 sponge changed to 28 sponge","not_measured","not_measured",9,8.333333333,"","not_measured","not_measured",0,0,"",NA,9,"not_measured",8.333333333,0,0,"","not_measured",NA,0,0,NA,"",0,NA,0,0,0,"","not_measured",NA,0,0,"","not_measured",NA,NA,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"This could potentially be an egg mass. Send to Coral List","no","Shelt_Shal",0.0185185185185185,0.314814814814815,0,0.0185185185185185,0.0185185185185185,0,0.518518518518518,0.166666666666667,0,0,0,0,0,0,0.0178571428592092,0.303571428567985,0,0.0178571428592092,0,0.500000000096429,0.160714285713597,0,0,0,0,0
"10","W","2-3m","2",1,21,49,41,"Underside","29/04/2018","6",24,"",20,40.81632653,20.40816327,0.408163265,20,20.40816327,40.81632653,1,1.020408163,"","not_measured","not_measured",0,"",0,0,NA,0,"","not_measured","not_measured",0,"","not_measured",NA,"",NA,0,0,NA,0,0,NA,0,0,NA,0,"","not_measured",0,"","not_measured",NA,"",NA,0,"not_measured",1,1.020408163,"not_measured",1,1.020408163,"not_measured",0,0,"","not_measured",NA,0,0,"not_measured",NA,"",0,0,"","not_measured",NA,1,1.020408163,"not_measured","not_measured","",0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,0,0,"","not_measured",NA,12,12.24489796,"","not_measured","not_measured",3,3.06122449," ","not_measured","not_measured",0,0,"",NA,3,"not_measured",3.06122449,3,3.06122449,"","not_measured","not_measured",0,0,NA,"",3,"not_measured",3.06122449,0,0,"","not_measured",NA,0,0,"","not_measured",NA,2,"","not_measured",0,0,NA,0,0,NA,0,0,"","not_measured",NA,0,0,NA,0,0,NA,NA,"There are 2 corals: 1.1, 0.7","no","Exp_Shal",0.0204081632653061,0,0,0.0204081632653061,0.0204081632653061,0,0.244897959183673,0.0612244897959184,0.0612244897959184,0,0,0,0,0,0.0499999999755,0,0,0.0499999999755,0,0.599999999902,0.1499999999755,0.1499999999755,0,0,0,0
